"","spID","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","suborder","family","genus","species","spLabel","latin"
"1","Ajun",-0.376625524654369,-0.104873343432699,0.0267072355969237,-0.030048287294526,-0.0389639438720076,0.0293870685207288,-0.0170220886194116,0.0092793253344951,0.000409485714480153,0.00452128969484555,-0.0018280077451618,-0.000449332560156694,0.00011926115748948,5.89705168419071e-06,-3.39448222132869e-06,"Anisoptera","Aeshnidae","Anax","junius","A. junius","Anax junius"
"2","Along",-0.629368543820602,-0.163597044031828,-0.0093114708782965,0.016021093620246,-0.0230936529690186,-0.0308258999900207,0.00352218142153068,-0.00090879508198843,0.00451495720657134,0.00208448867541094,0.000891903394417048,-8.34862789329514e-05,-0.000864723048189805,-0.000503600049331581,0.000164542183104767,"Anisoptera","Aeshnidae","Anax","longipes","A. longipes","Anax longipes"
"3","Bjanata",-0.154907450305655,-0.0758591618907594,0.00731466132709451,-0.0675939083619723,0.0344136840339726,-0.0156103248568077,0.0178502102518434,0.00786138990965593,0.00210039012414445,-0.00186361413686516,-0.000554092796896722,-0.000880151801654117,0.000689157623792886,0.000814083956523942,-0.000180246006254859,"Anisoptera","Aeshnidae","Basiaeschna","janata","B. janata","Basiaeschna janata"
"4","CelithemisF",-0.0339829458738762,0.0414996636335821,-0.00168492480774231,0.0282370330191775,-0.0299662265202096,0.0228858423866352,0.0144280933094779,-0.00170808284242188,-0.000866901316896099,0.00848831312421575,-0.00853506931250481,-0.00613988663224827,-0.00214707887339807,8.35548856640387e-05,0.000344314285134642,"Anisoptera","Libellulidae","Celithemis","fasciata","C. fasciata","Celithemis fasciata"
"5","CelithemisO",0.05786329738046,-0.00154170783527981,0.0404431121984535,0.0205828425009506,-0.00923151956445786,-0.000246273014593859,0.0048492105570482,0.00244579475992867,0.0101943684684799,-0.00200794737860032,-0.00621269467461224,0.00717222996316697,-0.000289903226272756,-0.00100092403647957,0.000485701175474542,"Anisoptera","Libellulidae","Celithemis","ornata/verna","C. ornata/verna","Celithemis ornata/verna"
"6","Eheros",-0.405588721580366,-0.092260761034854,0.00578319989456962,0.0369588237965863,0.0623094223412591,0.0263613365871067,0.0062775099558075,-0.0108161258718188,-0.00418112211349731,-0.00427760817259096,0.00052416056702588,0.000474732352609413,0.000622499756682483,0.000390814450290766,-0.000174798273343243,"Anisoptera","Aeshnidae","Epiaeschna","heros","E. heros","Epiaeschna heros"
"7","Enalaspersum",0.240661670057913,-0.0346630745541777,-0.00658272594886525,-0.00328461423643326,0.00308610607802564,-0.00145040417666844,-0.00371916677918653,-0.00124246641028714,0.00174090823522426,0.00612646459623096,-0.00476406685971755,0.00432479369881975,-0.00292333791909924,0.00212901455240885,-0.00360099173768196,"Zygoptera","Coenagrionidae","Enallagma","aspersum","E. aspersum","Enallagma aspersum"
"8","Enaldivagans",0.241338654340366,-0.0342959849403732,-0.000676392737304764,-0.000362973566806622,0.00122512029211242,-0.00275070184185114,-0.00689900034953246,-0.00212400961720861,0.0119696039710503,-0.00721936144652171,0.00550195724560032,0.000458914357956523,-0.00653945092273506,0.00545455673149857,0.00093197756024982,"Zygoptera","Coenagrionidae","Enallagma","divigans","E. divigans","Enallagma divigans"
"9","Enaldubium",0.25094021014754,-0.0357850525882302,-0.00698230814906798,-0.00332432031251112,0.00338165869061767,-0.00204330184100144,0.000864050309491036,0.00133034027471115,-0.0107518907992551,0.0141489460530683,-0.00120699656413455,0.00430434035646389,-0.00617181227894173,0.000156719895101752,0.00136322567215283,"Zygoptera","Coenagrionidae","Enallagma","dubium","E. dubium","Enallagma dubium"
"10","Enalgeminatum",0.241859033794918,-0.0344314066120937,-0.00383398246749785,-0.00223533331309096,0.00249848766120098,-0.0020725556670234,-0.00569312126659167,-0.00213999148707113,0.00931411172100335,-0.00416545460704827,-0.00943999132195079,0.00777615366474651,0.00724409890438872,-0.000103141867632036,0.00209828540315717,"Zygoptera","Coenagrionidae","Enallagma","geminatum","E. geminatum","Enallagma geminatum"
"11","Enalsignatum",0.230810456814533,-0.033244961943595,-0.0078606947410971,-0.00534416908960838,0.00495312456177002,0.000449221157055928,-0.000190832970944552,-0.00135243097149782,-0.00186663062477229,0.0163540462910514,0.00549285129971478,0.00127582314694326,0.00315598118356074,-0.00167890539226038,0.00133727262522082,"Zygoptera","Coenagrionidae","Enallagma","signatum","E. sigatum","Enallagma signatum"
"12","Enalvesperum",0.227493881842353,-0.0328209767037835,-0.00842252797439852,-0.00603550069886534,0.00555069068282161,0.000746385392169773,0.000853063043195075,-0.00118737419211788,-0.00310166456336147,0.0165335206665565,0.00934310753131565,-0.00785980908715395,0.00526461878686063,0.000189767998908722,-0.000529957735437472,"Zygoptera","Coenagrionidae","Enallagma","vespersum","E. vespersum","Enallagma vespersum"
"13","Epitheca_cynosura",-0.148077062169542,0.127010246322019,-0.0201745979745488,0.0244947873347708,0.018684204667785,0.0120914694541771,0.00538255946077676,0.0348441173832726,0.0123539958491214,0.00349232268051617,-0.00217852891783052,-0.00163568616440059,-0.0020840565121083,-0.0005207638823015,0.00028815624065661,"Anisoptera","Corduliidae","Epitheca","cynosura","E. cynosura","Epitheca cynosura"
