"season_year","year","season","time"
"Su_2008",2008,"Su",1
"F_2008",2008,"F",2
"W_2009",2009,"W",3
"Sp_2009",2009,"Sp",4
"Su_2009",2009,"Su",5
"F_2009",2009,"F",6
"W_2010",2010,"W",7
"Sp_2010",2010,"Sp",8
"Su_2010",2010,"Su",9
"F_2010",2010,"F",10
"W_2011",2011,"W",11
"Sp_2011",2011,"Sp",12
"Su_2011",2011,"Su",13
"F_2011",2011,"F",14
