"","Ajun","Along","Bjanata","CelithemisF","CelithemisO","Enalaspersum","Enaldivagans","Enaldubium","Enalgeminatum","Enalsignatum","Enalvesperum","Epitheca_cynosura","Epitheca_semiaquea","Erythemis","Erythrodiplax","Gomphus lividus","Iposita","Ladona","Lestes_d_australis","Libellula","Nehalennia","Pachydiplax","Pantala","Perithemis_tenera","Plathemis","Telebasis","Tramea"
"G.8.2008.F",0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"G.9.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"N.26.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0
"B.28.2008.F",1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,5,0,0,4,0,12,0,0,0,0,0
"S.29.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,11,0,0
"G.31.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,9,0,0,0,0,0
"B.35.2008.F",1,0,1,0,0,0,3,0,0,1,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"S.37.2008.F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"B.10.2008.F",0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,11,0,4,0,0,0,0,0
"O.11.2008.F",1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,12
"S.12.2008.F",0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,13,0,1,0,0,0,0,3
"B.13.2008.F",0,0,0,30,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"S.14.2008.F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"B.15.2008.F",0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,4,0,0,0,0,6,0,0,0,0,0
"S.16.2008.F",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,2,0,0,0,3
"B.17.2008.F",0,0,0,14,0,0,8,0,2,4,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"G.18.2008.F",0,0,0,5,0,0,0,0,0,2,0,0,14,0,0,0,0,2,0,4,0,0,0,0,0,0,0
"G.19.2008.F",0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"B.20.2008.F",0,0,1,0,0,0,1,0,0,0,0,2,14,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"S.21.2008.F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0
"N.22.2008.F",0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,4
"G.23.2008.F",2,0,0,1,0,0,4,0,0,0,0,0,6,10,0,0,1,0,0,2,0,3,0,0,0,0,0
"S.24.2008.F",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,1,0,0,0,0
"S.27.2008.F",0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,2,0,2,0,2,0,0,0,0,0
"G.30.2008.F",2,0,0,0,0,0,0,0,0,3,0,0,1,13,2,0,0,3,0,4,0,2,0,0,0,0,0
"G.32.2008.F",0,0,0,2,0,0,0,0,0,0,0,0,13,3,0,0,0,4,0,4,0,0,0,0,0,0,0
"G.33.2008.F",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"G.34.2008.F",0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"G.36.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"B.38.2008.F",0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"G.39.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,7,0,15,0,4,0,0,0,0,0
"N.40.2008.F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,0,0,0,0,0
"O.41.2008.F",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
"N.42.2008.F",9,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,2,0,17,0,0,0,0,0
"B.43.2008.F",1,0,0,3,0,0,0,0,0,1,0,0,5,4,1,0,1,2,0,10,0,0,0,0,0,0,0
"G.44.2008.F",0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"S.45.2008.F",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,3,0,2,0,0,0,3,0
"B.46.2008.F",0,0,0,10,0,0,0,0,0,0,0,0,4,2,1,0,0,4,0,4,0,0,0,0,0,0,0
"B.47.2008.F",0,0,0,11,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"N.1.2009.W",1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,6,0,0,8,0,0,0,0,0,0,0
"B.3.2009.W",0,0,0,15,0,0,0,0,4,8,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
